抓取時間,是否開放申購,產品名稱,產品代碼,ISIN_CODE,票面利率,到期日,計價幣別,申購參考報價,申購報價日,贖回參考報價,贖回報價日,配息頻率,風險報酬等級,申購資格,走勢圖連結,產品說明書連結
2026-09-25 11:51:23,是,美國運通公司債券Ｉ,A370,US025816BF52,4.050,2042/12/03,USD,83.02,2026/09/24,78.91,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A370,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A370.pdf
2026-09-25 11:51:23,否,澳洲聯邦銀行次順位債券ＩＩ,A379,USQ2693DBV21,4.316,2048/01/10,USD,80.74,2024/04/26,75.20,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A379,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A379.pdf
2026-09-25 11:51:23,是,軟體銀行集團債券ＶＩ,A382,XS1793255198,6.250,2028/04/15,USD,101.27,2026/09/24,99.30,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A382,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A382.pdf
2026-09-25 11:51:23,否,阿聯猶杜拜國民銀行債券ＩＶ,A385,AU3CB0250512,4.750,2028/02/09,AUD,100.80,2026/03/06,97.85,2026/09/24,半年,RR4,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A385,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A385.pdf
2026-09-25 11:51:23,否,匯豐控股或有可轉換次順位永續債券ＸＩ,A389,US404280BL25,6.000,無到期日,USD,98.38,2024/04/26,99.58,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A389,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A389.pdf
2026-09-25 11:51:23,否,墨西哥石油公司債券ＩＶ,A390,US71654QCG55,6.500,2027/03/13,USD,95.67,2024/04/26,100.16,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A390,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A390.pdf
2026-09-25 11:51:23,否,匯豐控股債券Ｘ,A391,US404280BK42,4.041,2028/03/13,USD,97.45,2024/04/26,99.36,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A391,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A391.pdf
2026-09-25 11:51:23,是,瑞銀集團債券ＩＩ,A392,USH4209UAC02,4.253,2028/03/23,USD,100.10,2026/09/24,98.66,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A392,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A392.pdf
2026-09-25 11:51:23,是,亞馬遜公司債券ＩＩＩ,A393,US023135BJ40,4.050,2047/08/22,USD,77.32,2026/09/24,72.49,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A393,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A393.pdf
2026-09-25 11:51:23,是,亞馬遜公司債券ＩＶ,A394,US023135BF28,3.875,2037/08/22,USD,86.95,2026/09/24,83.76,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A394,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A394.pdf
